id,value,feed_id,created_at,lat,lon,ele
0E6M01S3BBJ8JNEAG64YM3MS0H,2.499023,1115832,2019-07-02 15:03:12 UTC,0.0,0.0,0.0
0E6M01SPD6GA5YXNQYKQG3CAE8,2.496094,1115832,2019-07-02 15:03:14 UTC,0.0,0.0,0.0
0E6M01TASVE3M8DZFZQD5C2AR1,2.499023,1115832,2019-07-02 15:03:16 UTC,0.0,0.0,0.0
0E6M01TYH32V06687E26SH39BT,2.496094,1115832,2019-07-02 15:03:18 UTC,0.0,0.0,0.0
0E6M01VJ5W0X9SNGK7KZ2Z1X99,2.496094,1115832,2019-07-02 15:03:20 UTC,0.0,0.0,0.0
0E6M01W5CNX12JYQNEYC9WTYEJ,2.499023,1115832,2019-07-02 15:03:22 UTC,0.0,0.0,0.0
0E6M01WS107754K3DCKMSDRVGJ,2.499023,1115832,2019-07-02 15:03:24 UTC,0.0,0.0,0.0
0E6M01XCMZ51RSWHEYF1745YEY,2.496094,1115832,2019-07-02 15:03:26 UTC,0.0,0.0,0.0
0E6M01Y095EMSQ5C82AFHXRN5E,2.499023,1115832,2019-07-02 15:03:28 UTC,0.0,0.0,0.0
0E6M01YK98JYHFH2EKSBX2PH2Y,2.499023,1115832,2019-07-02 15:03:30 UTC,0.0,0.0,0.0
0E6M01Z7MJ3XF2GXZHKG9KNRTB,2.499023,1115832,2019-07-02 15:03:32 UTC,0.0,0.0,0.0
0E6M01ZTZCJ36TABCT1WM19HYJ,2.496094,1115832,2019-07-02 15:03:34 UTC,0.0,0.0,0.0
0E6M020EG6GT44DS845N7FFMNK,2.496094,1115832,2019-07-02 15:03:36 UTC,0.0,0.0,0.0
0E6M0212DQR7X32SVQKCXKZ4GB,2.496094,1115832,2019-07-02 15:03:38 UTC,0.0,0.0,0.0
0E6M021P1Y1FKQMXC3K15S8YDE,2.496094,1115832,2019-07-02 15:03:40 UTC,0.0,0.0,0.0
0E6M022A37SB6PSQRGMMQSYHZK,2.496094,1115832,2019-07-02 15:03:42 UTC,0.0,0.0,0.0
0E6M022WXXMBV95412WV6TTRXF,2.496094,1115832,2019-07-02 15:03:44 UTC,0.0,0.0,0.0
0E6M023G2DX1772Y278M8M319E,2.496094,1115832,2019-07-02 15:03:46 UTC,0.0,0.0,0.0
0E6M02442Y3S3K3YB37YMK22PM,2.496094,1115832,2019-07-02 15:03:48 UTC,0.0,0.0,0.0
0E6M024QT6EXKZ2DXJEKJQXJD7,2.496094,1115832,2019-07-02 15:03:50 UTC,0.0,0.0,0.0
0E6M025BEEN8DDQHKPHP5R8MNS,2.496094,1115832,2019-07-02 15:03:52 UTC,0.0,0.0,0.0
0E6M025YZB0HHQK659ZE277XEJ,2.496094,1115832,2019-07-02 15:03:54 UTC,0.0,0.0,0.0
0E6M026JG52TGR4N663RM9K477,2.484375,1115832,2019-07-02 15:03:56 UTC,0.0,0.0,0.0
0E6M02764QTV5S730YV4959WY7,2.496094,1115832,2019-07-02 15:03:58 UTC,0.0,0.0,0.0
0E6M027SP2VMCQWTARBMDM5K0E,2.496094,1115832,2019-07-02 15:04:00 UTC,0.0,0.0,0.0
0E6M028CPZNCWPWPM4MQG98J51,2.496094,1115832,2019-07-02 15:04:02 UTC,0.0,0.0,0.0
0E6M029A0PTH2GWTWPM3M1NEMA,2.496094,1115832,2019-07-02 15:04:05 UTC,0.0,0.0,0.0
0E6M029M28D973SYE74DB29QFE,2.484375,1115832,2019-07-02 15:04:06 UTC,0.0,0.0,0.0
0E6M02A8JN65QVNZ9JVEXG0FN3,2.496094,1115832,2019-07-02 15:04:08 UTC,0.0,0.0,0.0
0E6M02AW542VTGE9FBW0P7VRS7,2.496094,1115832,2019-07-02 15:04:10 UTC,0.0,0.0,0.0
0E6M02BFBNB3X9MJFYHTERWKFT,2.496094,1115832,2019-07-02 15:04:12 UTC,0.0,0.0,0.0
0E6M02C2VZBFZCW3W7M1EWYZXE,2.496094,1115832,2019-07-02 15:04:14 UTC,0.0,0.0,0.0
0E6M02CNXKV9XZ1NBZY0MMA8GT,2.496094,1115832,2019-07-02 15:04:16 UTC,0.0,0.0,0.0
0E6M02DA7XARGZ0W44QWWZ4RE8,2.496094,1115832,2019-07-02 15:04:18 UTC,0.0,0.0,0.0
0E6M02DX61JZV21Z823A4XXP2W,2.496094,1115832,2019-07-02 15:04:20 UTC,0.0,0.0,0.0
